Task 3 - All Countries
script.js:15 Name : Eswatini, Region : Africa, SubRegion : Southern Africa, Population : 1160164
script.js:15 Name : Ukraine, Region : Europe, SubRegion : Eastern Europe, Population : 44134693
script.js:15 Name : Bermuda, Region : Americas, SubRegion : North America, Population : 63903
script.js:15 Name : South Korea, Region : Asia, SubRegion : Eastern Asia, Population : 51780579
script.js:15 Name : Peru, Region : Americas, SubRegion : South America, Population : 32971846
script.js:15 Name : Iraq, Region : Asia, SubRegion : Western Asia, Population : 40222503
script.js:15 Name : Moldova, Region : Europe, SubRegion : Eastern Europe, Population : 2617820
script.js:15 Name : San Marino, Region : Europe, SubRegion : Southern Europe, Population : 33938
script.js:15 Name : Venezuela, Region : Americas, SubRegion : South America, Population : 28435943
script.js:15 Name : Guyana, Region : Americas, SubRegion : South America, Population : 786559
script.js:15 Name : Cayman Islands, Region : Americas, SubRegion : Caribbean, Population : 65720
script.js:15 Name : Cambodia, Region : Asia, SubRegion : South-Eastern Asia, Population : 16718971
script.js:15 Name : Cocos (Keeling) Islands, Region : Oceania, SubRegion : Australia and New Zealand, Population : 544
script.js:15 Name : Malta, Region : Europe, SubRegion : Southern Europe, Population : 525285
script.js:15 Name : Sri Lanka, Region : Asia, SubRegion : Southern Asia, Population : 21919000
script.js:15 Name : Israel, Region : Asia, SubRegion : Western Asia, Population : 9216900
script.js:15 Name : Sudan, Region : Africa, SubRegion : Northern Africa, Population : 43849269
script.js:15 Name : United States Virgin Islands, Region : Americas, SubRegion : Caribbean, Population : 106290
script.js:15 Name : Eritrea, Region : Africa, SubRegion : Eastern Africa, Population : 5352000
script.js:15 Name : Mali, Region : Africa, SubRegion : Western Africa, Population : 20250834
script.js:15 Name : Somalia, Region : Africa, SubRegion : Eastern Africa, Population : 15893219
script.js:15 Name : Norfolk Island, Region : Oceania, SubRegion : Australia and New Zealand, Population : 2302
script.js:15 Name : Comoros, Region : Africa, SubRegion : Eastern Africa, Population : 869595
script.js:15 Name : Nicaragua, Region : Americas, SubRegion : Central America, Population : 6624554
script.js:15 Name : Russia, Region : Europe, SubRegion : Eastern Europe, Population : 144104080
script.js:15 Name : Uganda, Region : Africa, SubRegion : Eastern Africa, Population : 45741000
script.js:15 Name : Nauru, Region : Oceania, SubRegion : Micronesia, Population : 10834
script.js:15 Name : Switzerland, Region : Europe, SubRegion : Western Europe, Population : 8654622
script.js:15 Name : Portugal, Region : Europe, SubRegion : Southern Europe, Population : 10305564
script.js:15 Name : Tajikistan, Region : Asia, SubRegion : Central Asia, Population : 9537642
script.js:15 Name : South Sudan, Region : Africa, SubRegion : Middle Africa, Population : 11193729
script.js:15 Name : Bouvet Island, Region : Antarctic, SubRegion : undefined, Population : 0
script.js:15 Name : Micronesia, Region : Oceania, SubRegion : Micronesia, Population : 115021
script.js:15 Name : American Samoa, Region : Oceania, SubRegion : Polynesia, Population : 55197
script.js:15 Name : Czechia, Region : Europe, SubRegion : Central Europe, Population : 10698896
script.js:15 Name : Botswana, Region : Africa, SubRegion : Southern Africa, Population : 2351625
script.js:15 Name : Tunisia, Region : Africa, SubRegion : Northern Africa, Population : 11818618
script.js:15 Name : Anguilla, Region : Americas, SubRegion : Caribbean, Population : 13452
script.js:15 Name : Guinea-Bissau, Region : Africa, SubRegion : Western Africa, Population : 1967998
script.js:15 Name : Slovakia, Region : Europe, SubRegion : Central Europe, Population : 5458827
script.js:15 Name : Marshall Islands, Region : Oceania, SubRegion : Micronesia, Population : 59194
script.js:15 Name : Algeria, Region : Africa, SubRegion : Northern Africa, Population : 44700000
script.js:15 Name : Jamaica, Region : Americas, SubRegion : Caribbean, Population : 2961161
script.js:15 Name : Mozambique, Region : Africa, SubRegion : Eastern Africa, Population : 31255435
script.js:15 Name : Spain, Region : Europe, SubRegion : Southern Europe, Population : 47351567
script.js:15 Name : Honduras, Region : Americas, SubRegion : Central America, Population : 9904608
script.js:15 Name : Netherlands, Region : Europe, SubRegion : Western Europe, Population : 16655799
script.js:15 Name : South Africa, Region : Africa, SubRegion : Southern Africa, Population : 59308690
script.js:15 Name : Azerbaijan, Region : Asia, SubRegion : Western Asia, Population : 10110116
script.js:15 Name : North Macedonia, Region : Europe, SubRegion : Southeast Europe, Population : 2077132
script.js:15 Name : Gambia, Region : Africa, SubRegion : Western Africa, Population : 2416664
script.js:15 Name : Liberia, Region : Africa, SubRegion : Western Africa, Population : 5057677
script.js:15 Name : Luxembourg, Region : Europe, SubRegion : Western Europe, Population : 632275
script.js:15 Name : Cape Verde, Region : Africa, SubRegion : Western Africa, Population : 555988
script.js:15 Name : Bahamas, Region : Americas, SubRegion : Caribbean, Population : 393248
script.js:15 Name : Georgia, Region : Asia, SubRegion : Western Asia, Population : 3714000
script.js:15 Name : Kiribati, Region : Oceania, SubRegion : Micronesia, Population : 119446
script.js:15 Name : Tanzania, Region : Africa, SubRegion : Eastern Africa, Population : 59734213
script.js:15 Name : China, Region : Asia, SubRegion : Eastern Asia, Population : 1402112000
script.js:15 Name : Guatemala, Region : Americas, SubRegion : Central America, Population : 16858333
script.js:15 Name : São Tomé and Príncipe, Region : Africa, SubRegion : Middle Africa, Population : 219161
script.js:15 Name : Germany, Region : Europe, SubRegion : Western Europe, Population : 83240525
script.js:15 Name : Sierra Leone, Region : Africa, SubRegion : Western Africa, Population : 7976985
script.js:15 Name : Chad, Region : Africa, SubRegion : Middle Africa, Population : 16425859
script.js:15 Name : United Kingdom, Region : Europe, SubRegion : Northern Europe, Population : 67215293
script.js:15 Name : Slovenia, Region : Europe, SubRegion : Central Europe, Population : 2100126
script.js:15 Name : Thailand, Region : Asia, SubRegion : South-Eastern Asia, Population : 69799978
script.js:15 Name : Indonesia, Region : Asia, SubRegion : South-Eastern Asia, Population : 273523621
script.js:15 Name : Northern Mariana Islands, Region : Oceania, SubRegion : Micronesia, Population : 57557
script.js:15 Name : Guam, Region : Oceania, SubRegion : Micronesia, Population : 168783
script.js:15 Name : Finland, Region : Europe, SubRegion : Northern Europe, Population : 5530719
script.js:15 Name : Mayotte, Region : Africa, SubRegion : Eastern Africa, Population : 226915
script.js:15 Name : Gibraltar, Region : Europe, SubRegion : Southern Europe, Population : 33691
script.js:15 Name : Turkmenistan, Region : Asia, SubRegion : Central Asia, Population : 6031187
script.js:15 Name : Kosovo, Region : Europe, SubRegion : Southeast Europe, Population : 1775378
script.js:15 Name : Ivory Coast, Region : Africa, SubRegion : Western Africa, Population : 26378275
script.js:15 Name : Morocco, Region : Africa, SubRegion : Northern Africa, Population : 36910558
script.js:15 Name : Dominican Republic, Region : Americas, SubRegion : Caribbean, Population : 10847904
script.js:15 Name : Ghana, Region : Africa, SubRegion : Western Africa, Population : 31072945
script.js:15 Name : Vatican City, Region : Europe, SubRegion : Southern Europe, Population : 451
script.js:15 Name : Jersey, Region : Europe, SubRegion : Northern Europe, Population : 100800
script.js:15 Name : Turkey, Region : Asia, SubRegion : Western Asia, Population : 84339067
script.js:15 Name : Tuvalu, Region : Oceania, SubRegion : Polynesia, Population : 11792
script.js:15 Name : Iran, Region : Asia, SubRegion : Southern Asia, Population : 83992953
script.js:15 Name : Egypt, Region : Africa, SubRegion : Northern Africa, Population : 102334403
script.js:15 Name : Denmark, Region : Europe, SubRegion : Northern Europe, Population : 5831404
script.js:15 Name : Kenya, Region : Africa, SubRegion : Eastern Africa, Population : 53771300
script.js:15 Name : Bulgaria, Region : Europe, SubRegion : Southeast Europe, Population : 6927288
script.js:15 Name : Zimbabwe, Region : Africa, SubRegion : Southern Africa, Population : 14862927
script.js:15 Name : Angola, Region : Africa, SubRegion : Middle Africa, Population : 32866268
script.js:15 Name : Nigeria, Region : Africa, SubRegion : Western Africa, Population : 206139587
script.js:15 Name : Poland, Region : Europe, SubRegion : Central Europe, Population : 37950802
script.js:15 Name : Senegal, Region : Africa, SubRegion : Western Africa, Population : 16743930
